Date;return
13/01/2021;0,00007469
14/01/2021;0,00007469
15/01/2021;0,00007469
18/01/2021;0,00007469
19/01/2021;0,00007469
20/01/2021;0,00007469
21/01/2021;0,00007469
22/01/2021;0,00007469
25/01/2021;0,00007469
26/01/2021;0,00007469
27/01/2021;0,00007469
28/01/2021;0,00007469
29/01/2021;0,00007469
01/02/2021;0,00007469
02/02/2021;0,00007469
03/02/2021;0,00007469
04/02/2021;0,00007469
05/02/2021;0,00007469
08/02/2021;0,00007469
09/02/2021;0,00007469
10/02/2021;0,00007469
11/02/2021;0,00007469
12/02/2021;0,00007469
17/02/2021;0,00007469
18/02/2021;0,00007469
19/02/2021;0,00007469
22/02/2021;0,00007469
23/02/2021;0,00007469
24/02/2021;0,00007469
25/02/2021;0,00007469
26/02/2021;0,00007469
01/03/2021;0,00007469
02/03/2021;0,00007469
03/03/2021;0,00007469
04/03/2021;0,00007469
05/03/2021;0,00007469
08/03/2021;0,00007469
09/03/2021;0,00007469
10/03/2021;0,00007469
11/03/2021;0,00007469
12/03/2021;0,00007469
15/03/2021;0,00007469
16/03/2021;0,00007469
17/03/2021;0,00007469
18/03/2021;0,00010379
19/03/2021;0,00010379
22/03/2021;0,00010379
23/03/2021;0,00010379
24/03/2021;0,00010379
25/03/2021;0,00010379
26/03/2021;0,00010379
29/03/2021;0,00010379
30/03/2021;0,00010379
31/03/2021;0,00010379
01/04/2021;0,00010379
05/04/2021;0,00010379
06/04/2021;0,00010379
07/04/2021;0,00010379
08/04/2021;0,00010379
09/04/2021;0,00010379
12/04/2021;0,00010379
13/04/2021;0,00010379
14/04/2021;0,00010379
15/04/2021;0,00010379
16/04/2021;0,00010379
19/04/2021;0,00010379
20/04/2021;0,00010379
22/04/2021;0,00010379
23/04/2021;0,00010379
26/04/2021;0,00010379
27/04/2021;0,00010379
28/04/2021;0,00010379
29/04/2021;0,00010379
30/04/2021;0,00010379
03/05/2021;0,00010379
04/05/2021;0,00010379
05/05/2021;0,00010379
06/05/2021;0,00013269
07/05/2021;0,00013269
10/05/2021;0,00013269
11/05/2021;0,00013269
12/05/2021;0,00013269
13/05/2021;0,00013269
14/05/2021;0,00013269
17/05/2021;0,00013269
18/05/2021;0,00013269
19/05/2021;0,00013269
20/05/2021;0,00013269
21/05/2021;0,00013269
24/05/2021;0,00013269
25/05/2021;0,00013269
26/05/2021;0,00013269
27/05/2021;0,00013269
28/05/2021;0,00013269
31/05/2021;0,00013269
01/06/2021;0,00013269
02/06/2021;0,00013269
04/06/2021;0,00013269
07/06/2021;0,00013269
08/06/2021;0,00013269
09/06/2021;0,00013269
10/06/2021;0,00013269
11/06/2021;0,00013269
14/06/2021;0,00013269
15/06/2021;0,00013269
16/06/2021;0,00013269
17/06/2021;0,00016137
18/06/2021;0,00016137
21/06/2021;0,00016137
22/06/2021;0,00016137
23/06/2021;0,00016137
24/06/2021;0,00016137
25/06/2021;0,00016137
28/06/2021;0,00016137
29/06/2021;0,00016137
30/06/2021;0,00016137
01/07/2021;0,00016137
02/07/2021;0,00016137
05/07/2021;0,00016137
06/07/2021;0,00016137
07/07/2021;0,00016137
08/07/2021;0,00016137
09/07/2021;0,00016137
12/07/2021;0,00016137
13/07/2021;0,00016137
14/07/2021;0,00016137
15/07/2021;0,00016137
16/07/2021;0,00016137
19/07/2021;0,00016137
20/07/2021;0,00016137
21/07/2021;0,00016137
22/07/2021;0,00016137
23/07/2021;0,00016137
26/07/2021;0,00016137
27/07/2021;0,00016137
28/07/2021;0,00016137
29/07/2021;0,00016137
30/07/2021;0,00016137
02/08/2021;0,00016137
03/08/2021;0,00016137
04/08/2021;0,00016137
05/08/2021;0,0001993
06/08/2021;0,0001993
09/08/2021;0,0001993
10/08/2021;0,0001993
11/08/2021;0,0001993
12/08/2021;0,0001993
13/08/2021;0,0001993
16/08/2021;0,0001993
17/08/2021;0,0001993
18/08/2021;0,0001993
19/08/2021;0,0001993
20/08/2021;0,0001993
23/08/2021;0,0001993
24/08/2021;0,0001993
25/08/2021;0,0001993
26/08/2021;0,0001993
27/08/2021;0,0001993
30/08/2021;0,0001993
31/08/2021;0,0001993
01/09/2021;0,0001993
02/09/2021;0,0001993
03/09/2021;0,0001993
06/09/2021;0,0001993
08/09/2021;0,0001993
09/09/2021;0,0001993
10/09/2021;0,0001993
13/09/2021;0,0001993
14/09/2021;0,0001993
15/09/2021;0,0001993
16/09/2021;0,0001993
17/09/2021;0,0001993
20/09/2021;0,0001993
21/09/2021;0,0001993
22/09/2021;0,0001993
23/09/2021;0,00023687
24/09/2021;0,00023687
27/09/2021;0,00023687
28/09/2021;0,00023687
29/09/2021;0,00023687
30/09/2021;0,00023687
01/10/2021;0,00023687
04/10/2021;0,00023687
05/10/2021;0,00023687
06/10/2021;0,00023687
07/10/2021;0,00023687
08/10/2021;0,00023687
11/10/2021;0,00023687
13/10/2021;0,00023687
14/10/2021;0,00023687
15/10/2021;0,00023687
18/10/2021;0,00023687
19/10/2021;0,00023687
20/10/2021;0,00023687
21/10/2021;0,00023687
22/10/2021;0,00023687
25/10/2021;0,00023687
26/10/2021;0,00023687
